kodeBarang,namaBarang,supplier,kodeKategori,kodeSubkategori,kemasan,satuan,hpp,hargaJual,berat,stokToko,stokGudang,stokTotal,lokasiToko,lokasiGudang,createdAt,updatedAt
C010102017,200pF Ceramic Capacitor,Novatech,KD005,KS025,DIP,pcs,21,100,0,786,0,786,G7-17, C5-2,,2019-07-24 08:20:32
C010102018,220pF Ceramic Capacitor,Novatech,KD005,KS025,DIP,pcs,21,100,0,730,1010,1740,G7-18,C5-2,,2019-08-20 07:51:12
C010102019,330pF Ceramic Capacitor,Novatech,KD005,KS025,DIP,pcs,20,100,0,90,400,490,G7-19,C5-2,,2019-09-12 09:15:31
C010102020,470pF Ceramic Capacitor,Novatech,KD005,KS025,DIP,pcs,20,100,0,20,0,20,G7-20,C5-2,,2019-03-26 10:01:21
C010102021,560pF Ceramic Capacitor,Novatech,KD005,KS025,DIP,pcs,22,100,0,164,1200,1364,G7-21,C5-2,,2019-09-23 06:30:53
C010102022,680pF Ceramic Capacitor,Novatech,KD005,KS025,DIP,pcs,40,100,0,36,0,36,G7-22,C5-2,,2019-08-20 07:51:12
C010102023,1nF Ceramic Capacitor,Novatech,KD005,KS025,DIP,pcs,50,150,0,-10,0,-10,G7-23,C5-2,,2019-03-30 05:46:32
C010102024,2.2nF Ceramic Capacitor,Novatech,KD005,KS025,DIP,pcs,47,150,0,173,0,173,G7-24,C5-2,,2019-08-02 08:12:55
C010102025,3.3nF Ceramic Capacitor,Novatech,KD005,KS025,DIP,pcs,21,150,0,34,800,834,G7-25,C5-2,,2019-04-15 03:39:00
C010102026,4.7nF Ceramic Capacitor,Novatech,KD005,KS025,DIP,pcs,21,150,0,888,0,888,G8-1,C5-2,,2019-04-15 03:39:00
C010102027,6.8nF Ceramic Capacitor,Novatech,KD005,KS025,DIP,pcs,13,150,0,-21,260,239,G8-2,C5-2,,2019-04-15 03:39:01
C010102028,10nF Ceramic Capacitor,Novatech,KD005,KS025,DIP,pcs,21,150,0,492,4000,4492,G8-3,C5-2,,2019-07-30 09:49:15
C010102029,15nF Ceramic Capacitor,Novatech,KD005,KS025,DIP,pcs,30,150,0,91,0,91,G8-4,C5-2,,2019-04-15 03:39:00
C010102030,22nF Ceramic Capacitor,Novatech,KD005,KS025,DIP,pcs,27,150,0,726,0,726,G8-5,C5-2,,2019-07-24 08:20:33
C010102031,33nF Ceramic Capacitor,Novatech,KD005,KS025,DIP,pcs,16,150,0,52,1000,1052,G8-6,C5-2,,2019-04-15 03:39:00
C010102032,47nF Ceramic Capacitor,Novatech,KD005,KS025,DIP,pcs,35,150,0,40,300,340,G8-7,C5-2,,2019-07-30 09:51:17
C010102033,68nF Ceramic Capacitor,Novatech,KD005,KS025,DIP,pcs,32,150,0,968,0,968,G8-8,C5-2,,2019-04-15 03:39:00
C010102034,100nF Ceramic Capacitor,Novatech,KD005,KS025,DIP,pcs,25,150,0,77,3900,3977,G8-9,C5-2,,2019-08-03 03:00:46
C010102035,150nF Ceramic Capacitor,Novatech,KD005,KS025,DIP,pcs,33,150,0,160,2600,2760,G8-10,C5-2,,2019-05-02 03:04:54
C010102036,220nF Ceramic Capacitor,Novatech,KD005,KS025,DIP,pcs,106,150,0,264,600,864,G8-11,C5-2,,2019-04-16 06:42:11
C010102037,18pF Ceramic Capacitor,Novatech,KD005,KS025,DIP,pcs,31,100,0,-153,300,147,G8-12,C5-2,,2019-07-04 07:46:26
C010102038,20pF Ceramic Capacitor,Novatech,KD005,KS025,DIP,pcs,21,100,0,1015,0,1015,G8-13,C5-2,,2019-03-30 05:46:32
C010102039,27pF Ceramic Capacitor,Novatech,KD005,KS025,DIP,pcs,28,100,0,64,2532,2596,G8-14,C5-2,,2019-02-20 07:15:37
C010102040,30pF Ceramic Capacitor,Novatech,KD005,KS025,DIP,pcs,32,100,0,10,0,10,G8-15,C5-2,,2019-07-18 09:25:10
C010202001,2.2pF  SMD0603 Capacitor 10%,Novatech,KD005,KS026,SMD0603,pcs,11,60,0.03,0,3500,3500,G8-16,A-3,,2019-03-30 07:00:01
C010202002,3.3pF  SMD0603 Capacitor 10%,Novatech,KD005,KS026,SMD0603,pcs,11,60,0.03,650,3200,3850,G8-17,A-3,,
C010202003,4.7pF  SMD0603 Capacitor 10%,Novatech,KD005,KS026,SMD0603,pcs,11,60,0.03,450,1900,2350,G8-18,A-3,,2019-02-26 05:04:48
C010202004,6.8pF  SMD0603 Capacitor 10%,Novatech,KD005,KS026,SMD0603,pcs,11,60,0.03,600,2000,2600,G8-19,A-3,,2019-02-26 05:05:10
C010202005,8pF   SMD0603 Capacitor 10%,Novatech,KD005,KS026,SMD0603,pcs,11,60,0.03,610,1850,2460,G8-20,A-3,,2019-02-26 05:05:34
C010202006,10pF  SMD0603 Capacitor 10%,Novatech,KD005,KS026,SMD0603,pcs,15,60,0.03,0,0,0,G8-21,A-3,,2019-02-26 05:05:51
C010202007,12pF  SMD0603 Capacitor 10%,Novatech,KD005,KS026,SMD0603,pcs,11,60,0.03,210,1900,2110,G8-22,A-3,,2019-02-26 05:06:36
C010202008,15pF  SMD0603 Capacitor 10%,Novatech,KD005,KS026,SMD0603,pcs,15,60,0.03,240,1600,1840,G8-23,A-3,,2019-02-26 05:07:04
C010202009,22pF  SMD0603 Capacitor 10%,Novatech,KD005,KS026,SMD0603,pcs,21,60,0.03,100,2310,2410,G8-24,A-3,,2019-09-13 03:13:15
C010202010,33pF  SMD0603 Capacitor 10%,Novatech,KD005,KS026,SMD0603,pcs,13,60,0.03,0,0,0,G8-25,A-3,,
C010202011,47pF  SMD0603 Capacitor 10%,Novatech,KD005,KS026,SMD0603,pcs,15,60,0.03,4192,0,4192,H1-1,A-3,,2019-04-16 01:45:04
C010202012,68pF  SMD0603 Capacitor ,Novatech,KD005,KS026,SMD0603,pcs,11,60,0.03,480,2000,2480,H1-2,A-3,,2019-02-26 05:08:25
C010202013,100pF SMD0603 Capacitor ,Novatech,KD005,KS026,SMD0603,pcs,15,60,0.03,240,1500,1740,H1-3,A-3,,2019-02-26 05:08:49
C010202014,150pF  SMD0603 Capacitor ,Novatech,KD005,KS026,SMD0603,pcs,11,60,0.03,840,1900,2740,H1-4,A-3,,2019-02-26 05:09:09
C010202015,200pF  SMD0603 Capacitor ,Novatech,KD005,KS026,SMD0603,pcs,13,60,0.03,330,2200,2530,H1-5,A-3,,2019-02-26 05:09:36
C010202016,220pF  SMD0603 Capacitor ,Novatech,KD005,KS026,SMD0603,pcs,11,60,0.03,270,2500,2770,H1-6,A-3,,2019-02-26 05:10:01
C010202017,330pF  SMD0603 Capacitor ,Novatech,KD005,KS026,SMD0603,pcs,11,60,0.03,370,2400,2770,H1-7,A-3,,2019-02-26 05:10:23
C010202018,470pF  SMD0603 Capacitor ,Novatech,KD005,KS026,SMD0603,pcs,15,60,0.03,110,2300,2410,H1-8,A-3,,2019-02-26 05:10:45
C010202019,560pF  SMD0603 Capacitor ,Novatech,KD005,KS026,SMD0603,pcs,15,60,0.03,930,800,1730,H1-9,A-3,,2019-03-19 08:50:37
C010202020,680pF  SMD0603 Capacitor ,Novatech,KD005,KS026,SMD0603,pcs,11,60,0.03,370,2500,2870,H1-10,A-3,,2019-02-26 05:11:31
C010202021,1nF  SMD0603 Capacitor,Novatech,KD005,KS026,SMD0603,pcs,15,60,0.03,90,0,90,H1-11,A-3,,2019-02-26 05:11:56
C010202022,2.2nF  SMD0603 Capacitor ,Novatech,KD005,KS026,SMD0603,pcs,11,60,0.03,20,1300,1320,H1-12,A-3,,2019-08-26 04:20:05
C010202023,3.3nF  SMD0603 Capacitor ,Novatech,KD005,KS026,SMD0603,pcs,13,60,0.03,440,2200,2640,H1-13,A-3,,2019-02-26 05:13:33
C010202024,4.7nF  SMD0603 Capacitor ,Novatech,KD005,KS026,SMD0603,pcs,15,60,0.03,20,800,820,H1-14,A-3,,2019-03-19 08:50:37
C010202025,6.8nF  SMD0603 Capacitor,Novatech,KD005,KS026,SMD0603,pcs,11,60,0.03,160,2600,2760,H1-15,A-3,,2019-02-26 05:14:22
C010202026,10nF  SMD0603 Capacitor ,Novatech,KD005,KS026,SMD0603,pcs,14,60,0.03,10,0,10,H1-16,A-3,,2019-02-26 05:15:15
C010202027,15nF  SMD0603 Capacitor ,Novatech,KD005,KS026,SMD0603,pcs,13,60,0.03,300,2450,2750,H1-17,A-3,,2019-06-13 02:54:24
C010202028,22nF  SMD0603 Capacitor ,Novatech,KD005,KS026,SMD0603,pcs,15,60,0.03,20,2300,2320,H1-18,A-3,,2019-02-26 05:15:50
C010202029,33nF  SMD0603 Capacitor ,Novatech,KD005,KS026,SMD0603,pcs,13,60,0.03,-10,1700,1690,H1-19,A-3,,2019-07-30 02:07:44
C010202030,47nF SMD0603 Capacitor,Novatech,KD005,KS026,SMD0603,pcs,15,60,0.03,330,1200,1530,H1-20,A-3,,2019-02-26 05:16:55
C010202031,68nF  SMD0603 Capacitor ,Novatech,KD005,KS026,SMD0603,pcs,11,60,0.03,70,2000,2070,H1-21,A-3,,2019-03-19 08:50:37
C010202032,100nF SMD0603 Capacitor ,Novatech,KD005,KS026,SMD0603,pcs,19,60,0.03,30,0,30,H1-22,A-3,,2019-08-26 04:33:29
C010202033,150nF  SMD0603 Capacitor ,Novatech,KD005,KS026,SMD0603,pcs,13,60,0.03,230,300,530,H1-23,A-3,,2019-02-26 05:20:06
C010202034,220nF  SMD0603 Capacitor ,Novatech,KD005,KS026,SMD0603,pcs,15,60,0.03,190,950,1140,H1-24,A-3,,2019-02-26 05:21:44
C010202035,330nF  SMD0603 Capacitor ,Novatech,KD005,KS026,SMD0603,pcs,15,60,0.03,580,1200,1780,H1-25,A-3,,2019-02-26 05:22:22
C010202036,470nF  SMD0603 Capacitor ,Novatech,KD005,KS026,SMD0603,pcs,15,60,0.03,190,2450,2640,H2-1,A-3,,2019-03-19 08:50:37
C010202038,680nF  SMD0603 Capacitor ,Novatech,KD005,KS026,SMD0603,pcs,15,60,0.03,160,1200,1360,H2-2,A-3,,2019-02-27 02:13:06
C010202039,1uF  SMD0603 Capacitor,Novatech,KD005,KS026,SMD0603,pcs,19,60,0,343,0,343,H2-3,A-3,,2019-05-20 07:03:48
C010202040,1.5uF  SMD0603 Capacitor ,Novatech,KD005,KS026,SMD0603,pcs,21,60,0.03,170,1700,1870,H2-4,A-3,,2019-02-27 02:13:32
C010202041,2.2uF  SMD0603 Capacitor ,Novatech,KD005,KS026,SMD0603,pcs,23,60,0.03,470,200,670,H2-5,A-3,,2019-06-13 02:54:24
C010202042,3.3uF  SMD0603 Capacitor ,Novatech,KD005,KS026,SMD0603,pcs,47,125,0.03,270,2700,2970,H2-6,A-3,,2019-02-27 02:14:21
C010202043,4.7uF SMD0603 Capacitor ,Novatech,KD005,KS026,SMD0603,pcs,39,125,0.03,10,300,310,H2-7,A-3,,2019-07-08 08:36:08
C010202045,10uF SMD0603 Capacitor,Novatech,KD005,KS026,SMD0603,pcs,63,125,0.03,-290,600,310,H2-8,A-3,,2019-06-13 02:56:34
C010202046,18pf SMD0603 Capacitor ,Novatech,KD005,KS026,SMD0603,pcs,11,60,0.03,100,3300,3400,H2-9,A-3,,2019-04-15 09:52:13
C010203001,2.2pF SMD0805 Capacitor ,Novatech,KD005,KS027,SMD0805,pcs,27,80,0.03,260,2500,2760,H2-10,A-2,,2019-05-23 05:10:07
C010203002,3.3pF SMD0805 Capacitor ,Novatech,KD005,KS027,SMD0805,pcs,27,80,0.03,450,3200,3650,H2-11,A-2,,2019-02-27 02:06:21
C010203003,4.7pF SMD0805 Capacitor ,Novatech,KD005,KS027,SMD0805,pcs,27,80,0.03,260,3000,3260,H2-12,A-2,,2019-04-25 09:27:52
C010203004,6.8pF SMD0805 Capacitor ,Novatech,KD005,KS027,SMD0805,pcs,27,80,0.03,190,3250,3440,H2-13,A-2,,2019-06-13 02:54:24
C010203005,8pF SMD0805 CapacitorÃƒÆ’Ã‚Â¢ÃƒÂ¢Ã¢â€šÂ¬Ã…Â¡Ãƒâ€šÃ‚Â¬,Novatech,KD005,KS027,SMD0805,pcs,27,80,0.03,100,4000,4100,H2-14,A-2,,2019-09-03 04:42:05
C010203006,10pF SMD0805 Capacitor,Novatech,KD005,KS027,SMD0805,pcs,27,80,0.03,10,0,10,H2-15,A-2,,2019-04-18 07:13:48
C010203007,12pF SMD0805 Capacitor,Novatech,KD005,KS027,SMD0805,pcs,27,80,0.03,50,3400,3450,H2-16,A-2,,2019-09-03 04:42:05
C010203008,15pF SMD0805 Capacitor,Novatech,KD005,KS027,SMD0805,pcs,27,80,0.03,100,250,350,H2-17,A-2,,2019-09-03 04:42:05
C010203009,22pF SMD0805 Capacitor,Novatech,KD005,KS027,SMD0805,pcs,4000,80,0,0,0,0,H2-18,A-2,,
C010203010,33pF SMD0805 Capacitor,Novatech,KD005,KS027,SMD0805,pcs,28,80,0.03,100,450,550,H2-19,A-2,,2019-09-03 04:42:05
C010203011,47pF SMD0805 Capacitor,Novatech,KD005,KS027,SMD0805,pcs,27,80,0.03,-270,750,480,H2-20,A-2,,2019-07-30 01:37:57
C010203012,68pF SMD0805 Capacitor,Novatech,KD005,KS027,SMD0805,pcs,27,80,0.03,220,2100,2320,H2-21,A-2,,2019-04-18 07:08:39
C010203013,100pF SMD0805 Capacitor ,Novatech,KD005,KS027,SMD0805,pcs,28,80,0.03,240,0,240,H2-22,A-2,,2019-08-15 07:15:27
C010203014,150pF SMD0805 Capacitor ,Novatech,KD005,KS027,SMD0805,pcs,27,80,0.03,180,1950,2130,H2-23,A-2,,2019-04-25 09:27:52
C010203015,200pF SMD0805 Capacitor ,Novatech,KD005,KS027,SMD0805,pcs,27,80,0.03,90,1500,1590,H2-24,A-2,,2019-05-23 05:10:08
C010203016,220pF SMD0805 Capacitor ,Novatech,KD005,KS027,SMD0805,pcs,27,80,0.03,300,3000,3300,H2-25,A-2,,2019-03-08 02:14:44
C010203017,330pF SMD0805 Capacitor ,Novatech,KD005,KS027,SMD0805,pcs,27,80,0.03,40,3750,3790,H3-1,A-2,,2019-05-24 07:19:20
C010203018,470pF SMD0805 Capacitor ,Novatech,KD005,KS027,SMD0805,pcs,27,80,0.03,520,400,920,H3-2,A-2,,2019-09-12 09:14:51
C010203019,560pF SMD0805 Capacitor ,Novatech,KD005,KS027,SMD0805,pcs,28,80,0.03,60,4000,4060,H3-3,A-2,,2019-03-26 10:01:23
C010203020,680pF SMD0805 Capacitor ,Novatech,KD005,KS027,SMD0805,pcs,27,80,0.03,150,3250,3400,H3-4,A-2,,2019-02-26 09:14:42
C010203021,1nF SMD0805 CapacitorÃƒÆ’Ã‚Â¢ÃƒÂ¢Ã¢â€šÂ¬Ã…Â¡Ãƒâ€šÃ‚Â¬,Novatech,KD005,KS027,SMD0805,pcs,24,80,0.03,30,0,30,H3-5,A-2,,2019-07-30 03:04:41
C010203022,2.2nF SMD0805 Capacitor ,Novatech,KD005,KS027,SMD0805,pcs,27,80,0.03,40,0,40,H3-6,A-2,,2019-05-23 07:36:15
C010203023,3.3nF SMD0805 Capacitor ,Novatech,KD005,KS027,SMD0805,pcs,27,80,0.03,220,0,220,H3-7,A-2,,2019-02-26 09:17:12
C010203024,4.7nF SMD0805 Capacitor ,Novatech,KD005,KS027,SMD0805,pcs,27,80,0.03,330,0,330,H3-8,A-2,,2019-02-04 08:02:46
C010203025,6.8nF SMD0805 Capacitor ,Novatech,KD005,KS027,SMD0805,pcs,27,80,0.03,350,4000,4350,H3-9,A-2,,2019-02-26 09:18:17
C010203026,10nF SMD0805 Capacitor,Novatech,KD005,KS027,SMD0805,pcs,29,80,0,120,0,120,H3-10,A-2,,2019-05-24 07:19:20
C010203027,15nF SMD0805 Capacitor,Novatech,KD005,KS027,SMD0805,pcs,27,80,0.03,210,4000,4210,H3-11,A-2,,2019-02-26 09:19:45
C010203028,22nF SMD0805 Capacitor,Novatech,KD005,KS027,SMD0805,pcs,27,80,0.03,-60,0,-60,H3-12,A-2,,2019-07-30 03:04:41
C010203029,33nF SMD0805 Capacitor,Novatech,KD005,KS027,SMD0805,pcs,27,80,0.03,10,0,10,H3-13,A-2,,2019-02-26 09:23:55
C010203030,47nF SMD0805 Capacitor,Novatech,KD005,KS027,SMD0805,pcs,27,80,0.03,30,0,30,H3-14,A-2,,2019-04-23 02:29:23
C010203031,68nF SMD0805 Capacitor,Novatech,KD005,KS027,SMD0805,pcs,27,80,0.03,10,0,10,H3-15,A-2,,2019-05-28 04:51:12
C010203032,100nF SMD0805 Capacitor ,Novatech,KD005,KS027,SMD0805,pcs,25,80,0,0,0,0,H3-16,A-2,,2019-05-14 07:44:04
C010203033,150nF SMD0805 Capacitor ,Novatech,KD005,KS027,SMD0805,pcs,44,80,0.03,-130,550,420,H3-17,A-2,,2019-07-30 01:50:54
C010203034,220nF SMD0805 Capacitor ,Novatech,KD005,KS027,SMD0805,pcs,36,80,0.03,0,3150,3150,H3-18,A-2,,2019-08-22 02:36:08
C010203035,330nF SMD0805 Capacitor ,Novatech,KD005,KS027,SMD0805,pcs,36,80,0.03,370,2100,2470,H3-19,A-2,,2019-02-26 09:30:43
C010203036,470nF SMD0805 Capacitor ,Novatech,KD005,KS027,SMD0805,pcs,49,80,0.03,0,3100,3100,H3-20,A-2,,2019-08-26 04:33:29
C010203037,560nF SMD0805 Capacitor ,Novatech,KD005,KS027,SMD0805,pcs,36,80,0.03,1190,4100,5290,H3-21,A-2,,2019-02-26 09:31:48
C010203038,680nF SMD0805 Capacitor ,Novatech,KD005,KS027,SMD0805,pcs,58,80,0.03,70,4000,4070,H3-22,A-2,,2019-02-26 09:32:24
C010203039,1uF SMD0805 CapacitorÃƒÆ’Ã‚Â¢ÃƒÂ¢Ã¢â€šÂ¬Ã…Â¡Ãƒâ€šÃ‚Â¬,Novatech,KD005,KS027,SMD0805,pcs,39,150,0,-10,0,-10,H3-23,A-2,,2019-04-30 02:05:31
C010203040,1.5uF SMD0805 Capacitor ,Novatech,KD005,KS027,SMD0805,pcs,31,150,0.03,40,6000,6040,H3-24,A-2,,2019-08-05 08:01:47
C010203041,2.2uF SMD0805 Capacitor ,Novatech,KD005,KS027,SMD0805,pcs,46,150,0.03,0,0,0,H3-25,A-2,,2019-05-24 07:19:20
C010203042,3.3uF SMD0805 Capacitor ,Novatech,KD005,KS027,SMD0805,pcs,50,150,0.03,184,0,184,H4-1,A-2,,2019-08-05 08:01:47
C010203043,4.7uF SMD0805 Capacitor ,Novatech,KD005,KS027,SMD0805,pcs,62,150,0.03,0,0,0,H4-2,A-2,,
C010203044,6.8uF SMD0805 Capacitor ,Novatech,KD005,KS027,SMD0805,pcs,67,150,0.03,0,0,0,H4-3,A-2,,
C010203045,10uF SMD0805 Capacitor,Novatech,KD005,KS027,SMD0805,pcs,59,150,0.03,0,0,0,H4-4,A-2,,
C010203046,18pf SMD0805 Capacitor,Novatech,KD005,KS027,SMD0805,pcs,27,80,0,50,0,50,H4-5,A-2,,2019-04-15 09:48:54
C010203048,2.7K Ohm SMD0805 Resistor,Novatech,KD022,KS217,#NA,pcs,0,0,0.2,0,0,2,,,,2019-01-16 03:18:19
C010204001,2.2pF  SMD1206 Capacitor ,Novatech,KD005,KS028,SMD1206,pcs,65,150,0.04,10,2200,2210,H4-6,A-1,,2019-07-30 02:31:58
C010204002,3.3pF  SMD1206 Capacitor ,Novatech,KD005,KS028,SMD1206,pcs,66,150,0.04,310,2200,2510,H4-7,A-1,,2019-02-27 02:16:27
C010204003,4.7pF  SMD1206 Capacitor ,Novatech,KD005,KS028,SMD1206,pcs,65,150,0.04,80,1000,1080,H4-8,A-1,,2019-02-27 02:17:45
C010204004,6.8pF  SMD1206 Capacitor ,Novatech,KD005,KS028,SMD1206,pcs,66,150,0.04,270,2050,2320,H4-9,A-1,,2019-04-25 09:03:45
C010204005,8pF   SMD1206 Capacitor ,Novatech,KD005,KS028,SMD1206,pcs,66,150,0.04,60,2100,2160,H4-10,A-1,,2019-04-25 09:03:45
C010204006,10pF  SMD1206 Capacitor ,Novatech,KD005,KS028,SMD1206,pcs,68,150,0.04,40,2950,2990,H4-11,A-1,,2019-04-25 09:26:37
C010204007,12pF  SMD1206 Capacitor ,Novatech,KD005,KS028,SMD1206,pcs,74,150,0.04,180,1000,1180,H4-12,A-1,,2019-02-27 02:19:27
C010204008,15pF  SMD1206 Capacitor ,Novatech,KD005,KS028,SMD1206,pcs,68,150,0.04,10,250,260,H4-13,A-1,,2019-06-14 05:02:36
